Collection Name,SKU,Title,Weight Value,Weight Unit
Coaster,JCB-MER-COASTER,Jerky.com - Coaster,0,lbs
DeepFriedPeanuts,JCB-DFP-62-5,Jerky.com - Old Bay Seasoned Deep Fried Peanuts - 10 oz.,10,oz
DeepFriedPeanuts,JCB-DFP-13-5,Jerky.com - Roasted Garlic Deep Fried Peanuts - 10 oz.,10,oz
DeepFriedPeanuts,JCB-DFP-14-5,Jerky.com - Simply Salted Deep Fried Peanuts - 10 oz.,10,oz
DeepFriedPeanuts,JCB-DFP-11-5,Jerky.com - Spicy Hot Deep Fried Peanuts - 10 oz.,10,oz
DFP3pack,JCB-DFP-14-5-X3,Simply Salted Deep Fried Peanuts - 3 Pack,30,oz
DFP3pack,JCB-DFP-13-5-X3,Roasted Garlic Deep Fried Peanuts - 3 Pack,30,oz
DFP3pack,JCB-DFP-5-5-X3,Spicy Hot Deep Fried Peanuts - 3 Pack,30,oz
DFPAssortment30oz,JCB-DFP-A3-5,Deep Fried Peanut Sampler,30,oz
DiversionBag,JCB-MER-DB-1,Diversion Bag - A-Tips,1,oz
DiversionBag,JCB-MER-DB-2,Diversion Bag - Super Colon Scrub,1,oz
DiversionBag,JCB-MER-DB-3,Diversion Bag - Veggie Pops,1,oz
GiftContainer8x8x6,JCB-GFT-C-BOX-MED,Medium Fully Printed Gift Box (8 x 8 x 6),0.9,oz
GiftContainer8x8x8,BUILDBOX,Build Your Own Jerky Gift Box,0,lbs
GiftContainer8x8x8,JCB-GFT-C-BOX-WHITE,White Fully Printed Gift Box (8 x 8 x 8) - DROPBOX,0,lbs
GiftContainerBagBurlap,BUILDBAG,Build Your Own Jerky Gift Bag,0,lbs
GiftContainerBagBurlapBag,JCB-GFT-C-BURLAPBAG,"10"" x 12"" Burlap Gift Bag",0.5,oz
GiftContainerBagBurlapBag,JCB-GFT-C-BURLAPBAG-E,"10"" x 12"" Burlap Gift Bag - Embroidered",0.5,oz
GiftContainerBagCanvas,JCB-GFTBAG-CANVAS,"8"" X 15"" Canvas Gift Bag",0,lbs
GiftContainerBagCanvas,JCB-GFTBAG-CANVAS-E,"8"" X 15"" Canvas Gift Bag - Embroidered",0,lbs
GiftContainerBagCanvas,KLM-GFT-MS-VS-10X+2,12 Piece Meat Stick Gift Bag,0,lbs
GiftContainerBagCanvas,KLM-GFT-MS-VS-25X+5,30 Piece Meat Stick Gift Bag,0,lbs
GiftContainerBagCanvas,JCB-GFTBAG-CANVAS-GOLD,Test Kitchen - Gold Embroidered Canvas Bag,0,lbs
GiftContainerBagCanvas,JCB-GFTBAG-CANVAS-SILVER,Test Kitchen - Silver Embroidered Canvas Bag,0,lbs
GiftContainerBagCanvas,JCB-GFTBAG-CANVAS-BRONZE,Test Kitchen - Bronze Embroidered Canvas Bag,0,lbs
GiftContainerBagCanvas,JCB-GFT-BJV-MS-12PC,Beef Jerky & Meat Sticks Variety Pack Gift Bag - 12 Pieces,10.8,oz
GiftContainerBagCanvas,JCB-GFT-BJV-14PC,Beef Jerky Variety Pack Sampler Gift Bag 14 bags,15,oz
GiftContainerBagCanvas,JCB-GB-WGJSSGB-RS,Exotic Jerky Gift Basket - 12 exotic sticks,15.99,oz
GiftContainerBagCanvas,JCB1042-K,Extra Mile Gift Bag,18,oz
GiftContainerBagCanvas,JCB-GFT-BJV-MS-28PC,Beef Jerky & Meat Sticks Variety Pack Gift Bag - 28 Pieces,25.2,oz
GiftContainerBagCanvas,JCB-GB-WGJSSGB-RS-X2-FBANew,Exotic Jerky Gift Basket - Double the Meat,31.98,oz
GiftContainerBagCanvasOverfilled,JCB1042-K-X2,Extra Mile Gift Bag - 2X The Meat (52 Sticks),36,oz
GiftContainerBox8x8x3,JCB-GFT-C-BOX-SM,Small Fully Printed Gift Box (8 x 8 x 3),0.6,oz
GiftContainerBox8x8x3,JCB-GFT-EJSGB,Exotic Jerky Snacks Gift Box - 8 Items,16,oz
GiftContainerBox8x8x3,BTJ-STS-GFT-STBJGB,Soft and Tender Style Beef Jerky Gift Box - 5 bags,22,oz
